date,tempreature,humidity,N,P,K
2024-01-23 03:36:00,34,69,255,255,255
2024-01-23 03:41:00,34,71,255,255,255
2024-01-23 03:46:00,34,72,255,255,255
2024-01-23 03:51:00,34,72,255,255,255
2024-01-23 03:56:00,34,73,255,255,255
2024-01-23 04:01:00,34,70,255,255,255
2024-01-23 04:06:00,34,70,255,255,255
2024-01-23 04:11:00,34,71,255,255,255
2024-01-24 03:56:00,34,55,255,255,255
2024-01-24 04:06:00,34,54,255,255,255
2024-01-25 02:31:00,34,68,255,255,255
2024-01-25 02:36:00,34,69,255,255,255
2024-01-25 02:41:00,34,68,255,255,255
2024-01-28 02:26:00,34,61,255,255,255
2024-01-28 02:31:00,34,60,255,255,255
2024-01-28 02:36:00,34,58,255,255,255
2024-01-28 02:41:00,34,59,255,255,255
2024-01-28 02:46:00,34,61,255,255,255
2024-01-28 03:01:00,34,58,255,255,255
2024-01-31 05:11:00,34,61,255,255,255
2024-01-31 05:16:00,34,60,255,255,255
2024-01-31 05:21:00,34,61,255,255,255
2024-01-31 05:26:00,34,59,255,255,255
2024-01-31 05:31:00,34,61,255,255,255
2024-01-31 05:35:00,34,60,255,255,255
2024-01-31 05:40:00,34,61,255,255,255
2024-01-31 05:46:00,34,60,255,255,255
2024-01-31 05:51:00,34,59,255,255,255
2024-01-31 05:56:00,34,58,255,255,255
2024-01-31 06:01:00,34,60,255,255,255
2024-01-31 06:06:00,34,60,255,255,255
2024-01-31 06:10:00,34,60,255,255,255
2024-01-31 06:15:00,34,60,255,255,255
2024-02-02 06:20:00,34,61,255,255,255
2024-02-05 02:30:00,34,58,255,255,255
2024-02-05 02:35:00,34,61,255,255,255
2024-02-05 03:05:00,34,59,255,255,255
2024-02-06 03:00:00,34,59,255,255,255
2024-02-06 05:30:00,34,58,255,255,255
2024-02-06 05:35:00,34,59,255,255,255
2024-02-07 05:05:00,34,61,255,255,255
2024-02-07 05:10:00,34,60,255,255,255
2024-02-07 05:15:00,34,64,255,255,255
2024-02-07 05:20:00,34,58,255,255,255
2024-02-07 06:15:00,34,62,255,255,255
2024-02-07 06:20:00,34,59,255,255,255
2024-02-08 03:20:00,34,61,255,255,255
2024-02-08 03:25:00,34,60,255,255,255
2024-02-08 03:30:00,34,61,255,255,255
2024-02-08 03:35:00,34,60,255,255,255
2024-02-08 03:40:00,34,60,255,255,255
2024-02-08 04:25:00,34,60,255,255,255
2024-02-08 04:30:00,34,61,255,255,255
2024-02-08 04:35:00,34,60,255,255,255
2024-02-08 04:40:00,34,61,255,255,255
2024-02-08 04:45:00,34,60,255,255,255
2024-02-08 04:50:00,34,58,255,255,255
2024-02-08 04:55:00,34,61,255,255,255
2024-02-11 05:14:00,34,61,255,255,255
2024-02-11 05:19:00,34,59,255,255,255
2024-02-11 05:24:00,34,59,255,255,255
2024-02-11 05:29:00,34,61,255,255,255
2024-02-11 05:34:00,34,60,255,255,255
2024-02-11 05:49:00,34,60,255,255,255
2024-02-11 05:54:00,34,60,255,255,255
2024-02-11 05:59:00,34,59,255,255,255
2024-02-11 06:04:00,34,59,255,255,255
2024-02-11 06:09:00,34,58,255,255,255
2024-02-11 06:14:00,34,58,255,255,255
2024-02-11 06:19:00,34,60,255,255,255
2024-02-11 06:24:00,34,59,255,255,255
2024-02-11 06:29:00,34,60,255,255,255
2024-02-12 05:44:00,34,60,255,255,255
2024-02-12 05:49:00,34,61,255,255,255
2024-02-12 05:54:00,34,60,255,255,255
2024-02-12 05:59:00,34,59,255,255,255
2024-02-12 06:04:00,34,63,255,255,255
2024-02-12 06:09:00,34,62,255,255,255
2024-02-12 06:14:00,34,59,255,255,255
2024-02-12 06:19:00,34,61,255,255,255
2024-02-12 06:34:00,34,61,255,255,255
2024-02-22 03:33:00,34,59,255,255,255
2024-02-22 03:38:00,34,63,255,255,255
2024-02-22 04:13:00,34,60,255,255,255
2024-02-22 04:23:00,34,61,255,255,255
2024-02-22 04:28:00,34,59,255,255,255
2024-02-22 05:13:00,34,59,255,255,255
2024-02-22 05:38:00,34,61,255,255,255
2024-02-22 05:43:00,34,62,255,255,255
2024-02-22 05:48:00,34,60,255,255,255
2024-02-22 06:23:00,34,61,255,255,255
2024-02-22 06:28:00,34,59,255,255,255
2024-02-22 06:33:00,34,60,255,255,255
2024-02-22 06:43:00,34,62,255,255,255
2024-02-23 03:53:00,34,61,255,255,255
2024-03-29 03:30:00,34,0,255,255,255
2024-03-30 05:20:00,34,0,255,255,255
2024-03-30 05:20:00,34,0,255,255,255
2024-03-30 05:21:00,34,0,255,255,255
2023-12-01 05:13:00,33,59,185,190,160
2023-12-01 05:08:00,33,60,185,190,160
2023-12-01 05:04:00,33,59,185,190,160
2023-11-28 04:41:00,33,62,185,190,160
2023-11-28 04:36:00,33,63,185,190,160
2023-11-28 04:31:00,33,62,185,190,160
2023-12-03 04:29:00,33,56,185,190,160
2023-12-03 04:24:00,33,58,185,190,160
2023-12-03 03:49:00,33,60,185,190,160
2023-12-03 03:44:00,33,60,185,190,160
2023-12-03 03:39:00,33,60,185,190,160
2023-12-03 03:34:00,33,60,185,190,160
2023-12-03 03:24:00,33,60,185,190,160
2023-12-03 03:19:00,33,60,185,190,160
2023-12-03 03:14:00,33,60,185,190,160
2023-12-03 02:59:00,33,62,185,190,160
2023-12-03 02:49:00,33,62,185,190,160
2023-12-03 02:34:00,33,64,185,190,160
2023-12-04 02:44:00,33,73,185,190,160
2023-12-04 02:34:00,33,75,185,190,160
2023-12-04 02:29:00,33,74,185,190,160
2023-12-07 03:01:00,33,64,183,187,158
2023-12-07 02:56:00,33,64,183,187,158
2023-12-07 02:51:00,33,64,183,187,158
2023-12-16 05:37:00,33,79,178,186,157
2023-12-17 04:42:00,33,54,178,186,157
2023-12-17 04:47:00,33,55,178,186,157
2023-12-17 04:52:00,33,55,178,186,157
2023-12-17 04:57:00,33,55,178,186,157
2023-12-17 05:02:00,33,55,178,186,157
2023-12-17 05:07:00,33,53,178,186,157
2023-12-17 05:12:00,33,54,178,186,157
2023-12-17 05:17:00,33,54,178,186,157
2023-12-17 05:22:00,33,54,178,186,157
2023-12-17 05:27:00,33,51,178,186,157
2023-12-25 02:37:00,33,69,178,186,157
2023-12-25 02:42:00,33,68,178,186,157
2023-12-25 02:47:00,33,68,178,186,157
2023-12-25 02:52:00,33,68,178,186,157
2023-12-25 02:57:00,33,68,178,186,157
2023-12-25 03:02:00,33,69,178,186,157
2023-12-25 03:07:00,33,68,178,186,157
2023-12-25 03:17:00,33,69,178,186,157
2023-12-25 03:22:00,33,70,178,186,157
2023-12-25 03:27:00,33,69,178,186,157
2023-12-25 04:42:00,33,69,178,186,157
2023-12-25 04:47:00,33,67,178,186,157
2023-12-25 04:52:00,33,66,178,186,157
2023-12-25 04:57:00,33,69,178,186,157
2023-12-25 05:02:00,33,69,178,186,157
2023-12-25 05:07:00,33,69,178,186,157
2023-12-25 05:12:00,33,67,178,186,157
2023-12-25 05:17:00,33,67,178,186,157
2023-12-25 05:27:00,33,67,178,186,157
2023-12-25 05:37:00,33,67,178,186,157
2023-12-25 05:42:00,33,67,178,186,157
2023-12-25 05:47:00,33,67,178,186,157
2024-01-01 02:21:00,33,70,178,186,157
2024-01-01 02:26:00,33,71,178,186,157
2024-01-01 02:31:00,33,71,178,186,157
2024-01-01 02:36:00,33,71,178,186,157
2024-01-01 02:41:00,33,71,178,186,157
2024-01-01 02:46:00,33,71,178,186,157
2024-01-01 02:51:00,33,71,178,186,157
2024-01-01 02:56:00,33,72,178,186,157
2024-01-01 03:06:00,33,72,178,186,157
2024-01-01 03:11:00,33,69,178,186,157
2024-01-01 03:41:00,33,71,178,186,157
2024-01-01 03:46:00,33,71,178,186,157
2024-01-01 03:51:00,33,70,178,186,157
2024-01-01 03:56:00,33,69,178,186,157
2024-01-01 04:01:00,33,72,178,186,157
2024-01-01 04:56:00,33,73,178,186,157
2024-01-01 06:01:00,33,72,178,186,157
2024-01-01 06:06:00,33,72,178,186,157
2024-01-03 03:31:00,33,72,178,186,157
2024-01-14 05:22:00,33,46,255,255,255
2024-01-14 05:22:00,33,49,255,255,255
2024-01-14 05:23:00,33,50,255,255,255
2024-01-14 05:23:00,33,48,255,255,255
2024-01-14 05:23:00,33,49,255,255,255
2024-01-14 05:23:00,33,47,255,255,255
2024-01-14 05:24:00,33,47,255,255,255
2024-01-14 05:25:00,33,48,255,255,255
2024-01-14 05:25:00,33,49,255,255,255
2024-01-14 05:25:00,33,47,255,255,255
2024-01-14 05:26:00,33,49,255,255,255
2024-01-14 05:27:00,33,47,255,255,255
2024-01-14 05:27:00,33,49,255,255,255
2024-01-14 05:28:00,33,46,255,255,255
2024-01-14 05:28:00,33,47,255,255,255
2024-01-14 05:28:00,33,48,255,255,255
2024-01-14 05:29:00,33,46,255,255,255
2024-01-14 05:29:00,33,47,255,255,255
2024-01-14 05:31:00,33,50,255,255,255
2024-01-14 05:31:00,33,47,255,255,255
2024-01-14 05:32:00,33,49,255,255,255
2024-01-14 05:34:00,33,51,255,255,255
2024-01-14 05:34:00,33,50,255,255,255
2024-01-14 05:34:00,33,49,255,255,255
2024-01-14 06:02:00,33,57,255,255,255
2024-01-14 06:03:00,33,62,255,255,255
2024-01-14 06:03:00,33,61,255,255,255
2024-01-14 06:04:00,33,69,255,255,255
2024-01-14 06:04:00,33,71,255,255,255
